                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x79eeaf20f010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:24:55 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:28:15	 7005	 -149	-213	0	 182.29	 -1	0 	0
2026-05-20 15:28:16	 7044	 -234	-214	0	 185.80	 -8	-1 	0
2026-05-20 15:28:17	 7079	 -504	-234	0	 148.89	 -6	0 	0
2026-05-20 15:28:18	 7114	 -556	-234	0	 25.84	 -1	0 	0
2026-05-20 15:28:19	 7149	 -427	-201	0	 352.44	 7	0 	0
2026-05-20 15:28:20	 7184	 -215	-224	0	 22.32	 6	0 	0
2026-05-20 15:28:21	 7219	 -106	-203	0	 8.26	 0	0 	0
2026-05-20 15:28:22	 7271	 -57	-202	0	 359.47	 6	-1 	0
2026-05-20 15:28:23	 7306	 5	-203	0	 343.65	 0	-1 	0
2026-05-20 15:28:25	 7362	 91	-209	0	 2.99	 3	-1 	0
2026-05-20 15:28:26	 7397	 339	-245	0	 355.96	 8	-2 	0
2026-05-20 15:28:27	 7432	 597	-185	-2	 15.29	 4	2 	0
2026-05-20 15:28:28	 7467	 674	-164	-32	 331.35	 3	-3 	0
2026-05-20 15:28:29	 7502	 909	-208	-64	 22.32	 6	0 	0
2026-05-20 15:28:30	 7537	 1000	-63	-64	 115.49	 -1	7 	0
2026-05-20 15:28:31	 7572	 817	106	-64	 147.13	 -8	3 	0
2026-05-20 15:28:32	 7607	 581	269	-64	 136.58	 -7	5 	0
2026-05-20 15:28:33	 7642	 368	439	-64	 136.58	 0	1 	0
2026-05-20 15:28:34	 7677	 402	494	-64	 73.30	 2	6 	0
2026-05-20 15:28:35	 7712	 483	559	-64	 347.17	 1	1 	0
2026-05-20 15:28:36	 7747	 584	412	-64	 259.28	 0	-8 	0
2026-05-20 15:28:37	 7782	 456	226	-64	 155.57	 -8	0 	0
2026-05-20 15:28:38	 7817	 246	190	-64	 187.21	 -6	-3 	0
2026-05-20 15:28:39	 7852	 41	202	-40	 171.39	 -8	1 	0
2026-05-20 15:28:40	 7887	 -194	197	-56	 174.90	 -9	-1 	0
2026-05-20 15:28:41	 7922	 -499	201	-64	 181.93	 -9	-1 	0
2026-05-20 15:28:42	 7957	 -509	205	-64	 190.72	 -3	-1 	0
2026-05-20 15:28:43	 7992	 -735	157	-64	 220.61	 -8	-4 	0
2026-05-20 15:28:44	 8027	 -907	-35	-64	 283.89	 -3	-2 	0
2026-05-20 15:28:45	 8062	 -848	-139	-64	 280.37	 3	-6 	0
2026-05-20 15:28:46	 8097	 -819	-261	-64	 334.86	 0	-1 	0
2026-05-20 15:28:47	 8132	 -743	-264	-48	 345.41	 6	-1 	0
2026-05-20 15:28:48	 8167	 -573	-272	0	 96.15	 0	0 	0
2026-05-20 15:28:49	 8202	 -678	-221	-25	 219.20	 -7	0 	0
2026-05-20 15:28:50	 8237	 -865	-277	-64	 103.18	 -1	-2 	0
2026-05-20 15:28:51	 8272	 -791	-174	-64	 340.14	 6	0 	0
2026-05-20 15:28:52	 8307	 -571	-294	0	 10.02	 7	-3 	0
2026-05-20 15:28:53	 8342	 -312	-225	0	 20.57	 7	3 	0
2026-05-20 15:28:54	 8377	 -45	-172	0	 301.46	 6	-3 	0
2026-05-20 15:28:55	 8412	 -48	-349	0	 178.42	 -7	-4 	0
2026-05-20 15:28:56	 8447	 -129	-307	0	 90.53	 -1	6 	0
2026-05-20 15:28:57	 8482	 -106	-62	0	 81.74	 0	3 	0
2026-05-20 15:28:58	 8517	 -132	-186	0	 74.71	 -2	-8 	0
2026-05-20 15:28:59	 8552	 -153	-267	0	 81.74	 0	2 	0
2026-05-20 15:29:00	 8587	 -118	-94	0	 92.29	 0	3 	0
2026-05-20 15:29:01	 8622	 -121	45	0	 13.18	 -1	0 	0
2026-05-20 15:29:02	 8657	 44	34	8	 306.39	 4	-2 	0
2026-05-20 15:29:03	 8692	 83	2	8	 227.29	 -3	-4 	0
2026-05-20 15:29:04	 8727	 -5	-62	8	 120.06	 -2	0 	0
2026-05-20 15:29:05	 8762	 -30	-28	8	 77.87	 -1	0 	0
2026-05-20 15:29:06	 8797	 -7	55	8	 93.69	 1	6 	0
2026-05-20 15:29:07	 8832	 -3	247	16	 135.88	 -1	1 	0
2026-05-20 15:29:08	 8867	 -155	313	0	 171.04	 -8	1 	0
2026-05-20 15:29:09	 8902	 -280	343	0	 83.14	 -1	0 	0
2026-05-20 15:29:10	 8937	 -197	452	0	 334.16	 2	-1 	0
2026-05-20 15:29:11	 8972	 0	348	0	 355.25	 7	-4 	0
2026-05-20 15:29:48	 10252	 113	313	0	 358.77	 0	-1 	0
2026-05-20 15:29:49	 10287	 183	334	0	 30.41	 6	2 	0
2026-05-20 15:29:50	 10322	 276	536	0	 153.46	 -4	5 	0
2026-05-20 15:29:51	 10357	 122	621	-24	 186.86	 -7	0 	0
2026-05-20 15:29:52	 10392	 -17	625	-72	 148.18	 1	-1 	11
2026-05-20 15:29:53	 10427	 29	699	-72	 53.26	 2	3 	11
2026-05-20 15:29:54	 10479	 2	725	-72	 164.00	 -4	-1 	11
2026-05-20 15:29:55	 10514	 -34	722	-72	 40.96	 -1	-1 	11
2026-05-20 15:29:56	 10549	 40	740	-72	 277.91	 1	-4 	11
2026-05-20 15:29:57	 10584	 23	539	-48	 177.71	 -1	-3 	11
2026-05-20 15:29:58	 10619	 -66	461	-24	 165.41	 2	-1 	0
2026-05-20 15:29:59	 10654	 -103	597	-48	 70.49	 1	6 	0
2026-05-20 15:30:00	 10689	 -83	701	-48	 193.54	 -3	-1 	0
2026-05-20 15:30:01	 10724	 -184	574	-24	 291.97	 0	-4 	0
2026-05-20 15:30:02	 10759	 -78	361	0	 307.79	 4	-7 	0
2026-05-20 15:30:03	 10794	 26	236	16	 260.33	 0	-1 	0
2026-05-20 15:30:04	 10829	 16	146	16	 258.57	 -2	-7 	0
2026-05-20 15:30:05	 10864	 41	-118	6	 304.28	 3	-8 	0
2026-05-20 15:30:06	 10899	 128	-206	0	 351.74	 1	-1 	0
2026-05-20 15:30:07	 10934	 137	-256	0	 235.72	 -3	-6 	0
2026-05-20 15:30:08	 10969	 45	-499	0	 283.18	 0	-8 	0
2026-05-20 15:30:09	 11004	 73	-757	0	 249.79	 0	-4 	0
2026-05-20 15:30:10	 11039	 76	-789	0	 151.35	 0	-1 	0
2026-05-20 15:30:11	 11075	 36	-702	0	 174.20	 -1	1 	0
2026-05-20 15:30:12	 11110	 26	-700	0	 233.96	 -3	-4 	0
